var2,tag,n,var_tot,tag_pc
April,can,13390,245831,5.45
April,redbull,3107,245831,1.26
April,metal,9309,245831,3.79
April,candy,5851,245831,2.38
April,cigarette,4703,245831,1.91
April,paper,10748,245831,4.37
April,knetterbal,3139,245831,1.28
April,aluminum,2956,245831,1.2
April,bag,4205,245831,1.71
April,bottle,5064,245831,2.06
April,energydrink,3795,245831,1.54
April,cup,2620,245831,1.07
April,piece,6290,245831,2.56
April,antaflu,2630,245831,1.07
April,wrapper,13156,245831,5.35
April,beer,3006,245831,1.22
April,mcdonalds,2261,245831,0.92
April,plastic,54830,245831,22.3
April,drink,2087,245831,0.85
April,firework,4237,245831,1.72
August,firework,3222,294674,1.09
August,antaflu,2804,294674,0.95
August,mcdonalds,3708,294674,1.26
August,piece,4840,294674,1.64
August,metal,11553,294674,3.92
August,wrapper,14488,294674,4.92
August,aluminum,3741,294674,1.27
August,energydrink,4181,294674,1.42
August,knetterbal,2795,294674,0.95
August,bag,4418,294674,1.5
August,redbull,3573,294674,1.21
August,cup,3045,294674,1.03
August,plastic,64901,294674,22.02
August,can,16546,294674,5.62
August,cigarette,7553,294674,2.56
August,bottle,6511,294674,2.21
August,candy,6228,294674,2.11
August,drink,2747,294674,0.93
August,paper,13010,294674,4.42
August,beer,4320,294674,1.47
December,knetterbal,5665,270169,2.1
December,metal,10052,270169,3.72
December,drink,3454,270169,1.28
December,candy,5604,270169,2.07
December,mcdonalds,3673,270169,1.36
December,firework,5961,270169,2.21
December,redbull,3733,270169,1.38
December,cup,3202,270169,1.19
December,can,16085,270169,5.95
December,piece,3570,270169,1.32
December,antaflu,2518,270169,0.93
December,bottle,6355,270169,2.35
December,plastic,58003,270169,21.47
December,paper,11440,270169,4.23
December,cigarette,4943,270169,1.83
December,beer,4557,270169,1.69
December,aluminum,3885,270169,1.44
December,wrapper,12074,270169,4.47
December,bag,4092,270169,1.51
December,energydrink,4161,270169,1.54
February,piece,2899,148687,1.95
February,redbull,1938,148687,1.3
February,drink,1403,148687,0.94
February,bottle,3467,148687,2.33
February,wrapper,7174,148687,4.82
February,can,8185,148687,5.5
February,antaflu,1924,148687,1.29
February,metal,5258,148687,3.54
February,cigarette,2176,148687,1.46
February,knetterbal,1924,148687,1.29
February,candy,3093,148687,2.08
February,aluminum,1784,148687,1.2
February,paper,6267,148687,4.21
February,cup,1808,148687,1.22
February,bag,2217,148687,1.49
February,plastic,34073,148687,22.92
February,firework,3066,148687,2.06
February,mcdonalds,1408,148687,0.95
February,energydrink,2251,148687,1.51
February,beer,2082,148687,1.4
January,wrapper,6732,146018,4.61
January,knetterbal,3189,146018,2.18
January,paper,5158,146018,3.53
January,candy,3300,146018,2.26
January,bag,1938,146018,1.33
January,drink,1427,146018,0.98
January,plastic,32608,146018,22.33
January,can,8626,146018,5.91
January,metal,5534,146018,3.79
January,firework,4740,146018,3.25
January,bottle,3797,146018,2.6
January,cigarette,3092,146018,2.12
January,beer,2718,146018,1.86
January,energydrink,2482,146018,1.7
January,antaflu,2191,146018,1.5
January,redbull,1925,146018,1.32
January,aluminum,1757,146018,1.2
January,cup,1430,146018,0.98
January,mcdonalds,917,146018,0.63
January,piece,2174,146018,1.49
July,candy,7817,326688,2.39
July,cigarette,7011,326688,2.15
July,mcdonalds,4504,326688,1.38
July,antaflu,3370,326688,1.03
July,beer,4689,326688,1.44
July,firework,3044,326688,0.93
July,paper,15386,326688,4.71
July,bag,5693,326688,1.74
July,drink,3157,326688,0.97
July,redbull,3936,326688,1.2
July,knetterbal,2801,326688,0.86
July,plastic,73051,326688,22.36
July,can,17499,326688,5.36
July,wrapper,17473,326688,5.35
July,bottle,7186,326688,2.2
July,piece,6422,326688,1.97
July,cup,3674,326688,1.12
July,energydrink,5003,326688,1.53
July,metal,12279,326688,3.76
July,aluminum,4329,326688,1.33
June,bottle,5735,259918,2.21
