var2,tag,n,var_tot,tag_pc
Q1,energydrink,8420,511830,1.65
Q1,bag,7185,511830,1.4
Q1,wrapper,24124,511830,4.71
Q1,paper,19882,511830,3.88
Q1,firework,12853,511830,2.51
Q1,cigarette,10411,511830,2.03
Q1,piece,9324,511830,1.82
Q1,knetterbal,8788,511830,1.72
Q1,beer,8130,511830,1.59
Q1,antaflu,6455,511830,1.26
Q1,aluminum,6083,511830,1.19
Q1,cup,5681,511830,1.11
Q1,drink,4753,511830,0.93
Q1,plastic,113732,511830,22.22
Q1,can,29697,511830,5.8
Q1,metal,19241,511830,3.76
Q1,bottle,12445,511830,2.43
Q1,candy,10775,511830,2.11
Q1,redbull,6862,511830,1.34
Q1,mcdonalds,3789,511830,0.74
Q2,plastic,162091,743218,21.81
Q2,bottle,16088,743218,2.16
Q2,drink,6882,743218,0.93
Q2,cup,8292,743218,1.12
Q2,knetterbal,6370,743218,0.86
Q2,piece,17859,743218,2.4
Q2,cigarette,16748,743218,2.25
Q2,energydrink,10912,743218,1.47
Q2,aluminum,9101,743218,1.22
Q2,antaflu,6542,743218,0.88
Q2,paper,35579,743218,4.79
Q2,beer,9695,743218,1.3
Q2,mcdonalds,8065,743218,1.09
Q2,redbull,9351,743218,1.26
Q2,wrapper,38712,743218,5.21
Q2,bag,12916,743218,1.74
Q2,firework,8223,743218,1.11
Q2,candy,16884,743218,2.27
Q2,can,40505,743218,5.45
Q2,metal,28607,743218,3.85
Q3,plastic,251882,1127051,22.35
Q3,can,61896,1127051,5.49
Q3,wrapper,57598,1127051,5.11
Q3,paper,53329,1127051,4.73
Q3,metal,41632,1127051,3.69
Q3,cigarette,34359,1127051,3.05
Q3,bottle,25084,1127051,2.23
Q3,candy,23805,1127051,2.11
Q3,piece,20810,1127051,1.85
Q3,bag,17594,1127051,1.56
Q3,beer,15415,1127051,1.37
Q3,energydrink,15394,1127051,1.37
Q3,aluminum,15190,1127051,1.35
Q3,redbull,13545,1127051,1.2
Q3,mcdonalds,12494,1127051,1.11
Q3,cup,12315,1127051,1.09
Q3,firework,11520,1127051,1.02
Q3,drink,11221,1127051,1
Q3,knetterbal,10270,1127051,0.91
Q3,antaflu,9627,1127051,0.85
Q4,knetterbal,9058,873256,1.04
Q4,antaflu,6534,873256,0.75
Q4,candy,17765,873256,2.03
Q4,drink,10353,873256,1.19
Q4,wrapper,40509,873256,4.64
Q4,piece,15186,873256,1.74
Q4,plastic,183396,873256,21
Q4,paper,38559,873256,4.42
Q4,firework,10720,873256,1.23
Q4,mcdonalds,12228,873256,1.4
Q4,can,51624,873256,5.91
Q4,beer,14630,873256,1.68
Q4,aluminum,10825,873256,1.24
Q4,metal,35657,873256,4.08
Q4,cigarette,21967,873256,2.52
Q4,cup,10316,873256,1.18
Q4,bottle,20777,873256,2.38
Q4,energydrink,13822,873256,1.58
Q4,redbull,11513,873256,1.32
Q4,bag,14611,873256,1.67
