var2,tag,n,var_tot,tag_pc
Friday,wrapper,20385,402893,5.06
Friday,cigarette,9658,402893,2.4
Friday,paper,17301,402893,4.29
Friday,can,22410,402893,5.56
Friday,bottle,9353,402893,2.32
Friday,energydrink,6263,402893,1.55
Friday,beer,6091,402893,1.51
Friday,redbull,4814,402893,1.19
Friday,antaflu,3486,402893,0.87
Friday,metal,15785,402893,3.92
Friday,firework,5694,402893,1.41
Friday,piece,8229,402893,2.04
Friday,bag,6811,402893,1.69
Friday,aluminum,4827,402893,1.2
Friday,cup,4286,402893,1.06
Friday,mcdonalds,4074,402893,1.01
Friday,knetterbal,4634,402893,1.15
Friday,candy,8656,402893,2.15
Friday,plastic,87112,402893,21.62
Friday,drink,3636,402893,0.9
Monday,antaflu,4133,429283,0.96
Monday,cigarette,10870,429283,2.53
Monday,can,23709,429283,5.52
Monday,paper,19307,429283,4.5
Monday,firework,5570,429283,1.3
Monday,knetterbal,4408,429283,1.03
Monday,beer,5998,429283,1.4
Monday,redbull,5469,429283,1.27
Monday,mcdonalds,5424,429283,1.26
Monday,metal,16328,429283,3.8
Monday,bottle,9417,429283,2.19
Monday,energydrink,6474,429283,1.51
Monday,plastic,93204,429283,21.71
Monday,wrapper,21931,429283,5.11
Monday,candy,9670,429283,2.25
Monday,piece,9598,429283,2.24
Monday,bag,7098,429283,1.65
Monday,aluminum,5037,429283,1.17
Monday,drink,3768,429283,0.88
Monday,cup,4867,429283,1.13
Saturday,plastic,145865,641121,22.75
Saturday,can,35757,641121,5.58
Saturday,wrapper,32358,641121,5.05
Saturday,paper,31802,641121,4.96
Saturday,metal,23113,641121,3.61
Saturday,cigarette,17693,641121,2.76
Saturday,bottle,14489,641121,2.26
Saturday,candy,13176,641121,2.06
Saturday,piece,11436,641121,1.78
Saturday,bag,9905,641121,1.54
Saturday,aluminum,9843,641121,1.54
Saturday,firework,9111,641121,1.42
Saturday,beer,8697,641121,1.36
Saturday,energydrink,8551,641121,1.33
Saturday,redbull,8078,641121,1.26
Saturday,knetterbal,7718,641121,1.2
Saturday,cup,7667,641121,1.2
Saturday,mcdonalds,7653,641121,1.19
Saturday,drink,6974,641121,1.09
Saturday,antaflu,5362,641121,0.84
Sunday,mcdonalds,6488,563218,1.15
Sunday,can,31931,563218,5.67
Sunday,plastic,121571,563218,21.59
Sunday,knetterbal,5510,563218,0.98
Sunday,energydrink,8699,563218,1.54
Sunday,firework,6984,563218,1.24
Sunday,drink,6334,563218,1.12
Sunday,wrapper,26454,563218,4.7
Sunday,cup,6644,563218,1.18
Sunday,bottle,12587,563218,2.23
Sunday,piece,10273,563218,1.82
Sunday,beer,8763,563218,1.56
Sunday,bag,9017,563218,1.6
Sunday,metal,22614,563218,4.02
Sunday,candy,11788,563218,2.09
Sunday,paper,27125,563218,4.82
Sunday,redbull,7396,563218,1.31
Sunday,aluminum,6554,563218,1.16
Sunday,antaflu,4675,563218,0.83
Sunday,cigarette,14361,563218,2.55
Thursday,mcdonalds,4180,416200,1
Thursday,wrapper,20548,416200,4.94
Thursday,energydrink,6478,416200,1.56
Thursday,beer,6210,416200,1.49
Thursday,cup,4572,416200,1.1
Thursday,knetterbal,3696,416200,0.89
Thursday,can,23389,416200,5.62
Thursday,piece,7703,416200,1.85
Thursday,bag,6616,416200,1.59
Thursday,redbull,5174,416200,1.24
Thursday,aluminum,5074,416200,1.22
Thursday,drink,4521,416200,1.09
Thursday,antaflu,3842,416200,0.92
Thursday,firework,5164,416200,1.24
Thursday,cigarette,9882,416200,2.37
Thursday,paper,17843,416200,4.29
Thursday,plastic,89389,416200,21.48
Thursday,metal,16005,416200,3.85
Thursday,candy,9057,416200,2.18
Thursday,bottle,9904,416200,2.38
Tuesday,paper,16328,383851,4.25
Tuesday,metal,14681,383851,3.82
Tuesday,wrapper,18449,383851,4.81
Tuesday,knetterbal,4178,383851,1.09
Tuesday,bottle,8800,383851,2.29
Tuesday,aluminum,4983,383851,1.3
Tuesday,beer,5582,383851,1.45
Tuesday,mcdonalds,4719,383851,1.23
Tuesday,can,22653,383851,5.9
Tuesday,cup,4214,383851,1.1
Tuesday,plastic,82873,383851,21.59
Tuesday,cigarette,10043,383851,2.62
Tuesday,candy,7699,383851,2.01
Tuesday,piece,6938,383851,1.81
Tuesday,bag,5848,383851,1.52
Tuesday,firework,5526,383851,1.44
Tuesday,redbull,4985,383851,1.3
Tuesday,antaflu,3707,383851,0.97
Tuesday,drink,3426,383851,0.89
Tuesday,energydrink,5770,383851,1.5
Wednesday,mcdonalds,4038,418789,0.96
Wednesday,can,23873,418789,5.7
Wednesday,paper,17643,418789,4.21
Wednesday,energydrink,6313,418789,1.51
Wednesday,beer,6529,418789,1.56
Wednesday,piece,9002,418789,2.15
Wednesday,drink,4550,418789,1.09
Wednesday,bottle,9844,418789,2.35
Wednesday,wrapper,20818,418789,4.97
Wednesday,knetterbal,4342,418789,1.04
Wednesday,firework,5267,418789,1.26
Wednesday,bag,7011,418789,1.67
Wednesday,cigarette,10978,418789,2.62
Wednesday,aluminum,4881,418789,1.17
Wednesday,cup,4354,418789,1.04
Wednesday,antaflu,3953,418789,0.94
Wednesday,candy,9183,418789,2.19
Wednesday,redbull,5355,418789,1.28
Wednesday,plastic,91087,418789,21.75
Wednesday,metal,16611,418789,3.97
