var2,tag,n,var_tot,tag_pc
2016,aluminum,1040,141333,0.74
2016,beer,3148,141333,2.23
2016,piece,6213,141333,4.4
2016,bag,3885,141333,2.75
2016,cigarette,2617,141333,1.85
2016,firework,38,141333,0.03
2016,cup,1870,141333,1.32
2016,can,7399,141333,5.24
2016,candy,3669,141333,2.6
2016,bottle,3202,141333,2.27
2016,wrapper,8225,141333,5.82
2016,metal,5619,141333,3.98
2016,paper,5417,141333,3.83
2016,energydrink,2660,141333,1.88
2016,mcdonalds,1294,141333,0.92
2016,redbull,1135,141333,0.8
2016,drink,16,141333,0.01
2016,antaflu,403,141333,0.29
2016,plastic,28219,141333,19.97
2017,beer,8908,366768,2.43
2017,antaflu,6722,366768,1.83
2017,firework,345,366768,0.09
2017,plastic,74720,366768,20.37
2017,cup,4059,366768,1.11
2017,piece,3303,366768,0.9
2017,paper,11191,366768,3.05
2017,candy,10908,366768,2.97
2017,knetterbal,15,366768,0
2017,wrapper,16394,366768,4.47
2017,bottle,10761,366768,2.93
2017,cigarette,9750,366768,2.66
2017,bag,5376,366768,1.47
2017,redbull,4881,366768,1.33
2017,aluminum,2783,366768,0.76
2017,drink,1906,366768,0.52
2017,mcdonalds,1841,366768,0.5
2017,energydrink,9863,366768,2.69
2017,metal,19259,366768,5.25
2017,can,22374,366768,6.1
2018,drink,11349,1035648,1.1
2018,cigarette,35420,1035648,3.42
2018,energydrink,12730,1035648,1.23
2018,metal,35527,1035648,3.43
2018,beer,15035,1035648,1.45
2018,aluminum,11398,1035648,1.1
2018,wrapper,53409,1035648,5.16
2018,candy,22816,1035648,2.2
2018,mcdonalds,10681,1035648,1.03
2018,plastic,229470,1035648,22.16
2018,can,58008,1035648,5.6
2018,bottle,25443,1035648,2.46
2018,piece,17670,1035648,1.71
2018,bag,17146,1035648,1.66
2018,redbull,12526,1035648,1.21
2018,cup,11383,1035648,1.1
2018,antaflu,11036,1035648,1.07
2018,firework,9080,1035648,0.88
2018,knetterbal,6080,1035648,0.59
2018,paper,49005,1035648,4.73
2019,plastic,378692,1711606,22.12
2019,can,95941,1711606,5.61
2019,wrapper,82915,1711606,4.84
2019,paper,81736,1711606,4.78
2019,metal,64732,1711606,3.78
2019,piece,35993,1711606,2.1
2019,cigarette,35698,1711606,2.09
2019,bottle,34988,1711606,2.04
2019,firework,33853,1711606,1.98
2019,candy,31836,1711606,1.86
2019,knetterbal,28391,1711606,1.66
2019,aluminum,25978,1711606,1.52
2019,bag,25899,1711606,1.51
2019,energydrink,23295,1711606,1.36
2019,mcdonalds,22760,1711606,1.33
2019,redbull,22729,1711606,1.33
2019,beer,20779,1711606,1.21
2019,drink,19938,1711606,1.16
2019,cup,19292,1711606,1.13
2019,antaflu,10997,1711606,0.64
