var2,tag,n,var_tot,tag_pc
2016-01,can,136,969,14.04
2016-01,energydrink,4,969,0.41
2016-01,paper,2,969,0.21
2016-01,beer,26,969,2.68
2016-01,redbull,39,969,4.02
2016-01,plastic,29,969,2.99
2016-01,mcdonalds,7,969,0.72
2016-02,paper,1,877,0.11
2016-02,plastic,33,877,3.76
2016-02,metal,1,877,0.11
2016-02,mcdonalds,5,877,0.57
2016-02,can,113,877,12.88
2016-02,redbull,25,877,2.85
2016-02,beer,29,877,3.31
2016-02,antaflu,1,877,0.11
2016-03,paper,15,1972,0.76
2016-03,metal,3,1972,0.15
2016-03,bag,3,1972,0.15
2016-03,plastic,124,1972,6.29
2016-03,antaflu,1,1972,0.05
2016-03,candy,1,1972,0.05
2016-03,beer,32,1972,1.62
2016-03,can,242,1972,12.27
2016-03,mcdonalds,20,1972,1.01
2016-03,redbull,38,1972,1.93
2016-04,cup,10,1657,0.6
2016-04,metal,2,1657,0.12
2016-04,antaflu,1,1657,0.06
2016-04,can,196,1657,11.83
2016-04,plastic,181,1657,10.92
2016-04,cigarette,1,1657,0.06
2016-04,energydrink,2,1657,0.12
2016-04,mcdonalds,26,1657,1.57
2016-04,paper,6,1657,0.36
2016-04,redbull,40,1657,2.41
2016-04,bottle,1,1657,0.06
2016-05,cup,35,1921,1.82
2016-05,candy,1,1921,0.05
2016-05,plastic,236,1921,12.29
2016-05,bottle,33,1921,1.72
2016-05,antaflu,1,1921,0.05
2016-05,mcdonalds,39,1921,2.03
2016-05,metal,5,1921,0.26
2016-05,redbull,40,1921,2.08
2016-05,bag,9,1921,0.47
2016-05,paper,30,1921,1.56
2016-05,can,257,1921,13.38
2016-05,aluminum,2,1921,0.1
2016-05,wrapper,41,1921,2.13
2016-05,beer,18,1921,0.94
2016-05,cigarette,61,1921,3.18
2016-06,mcdonalds,14,669,2.09
2016-06,metal,19,669,2.84
2016-06,bag,7,669,1.05
2016-06,paper,21,669,3.14
2016-06,energydrink,30,669,4.48
2016-06,can,58,669,8.67
2016-06,cigarette,27,669,4.04
2016-06,beer,3,669,0.45
2016-06,wrapper,27,669,4.04
2016-06,plastic,132,669,19.73
2016-06,redbull,11,669,1.64
2016-06,bottle,21,669,3.14
2016-06,cup,9,669,1.35
2016-07,metal,5,3381,0.15
2016-07,redbull,32,3381,0.95
2016-07,antaflu,4,3381,0.12
2016-07,aluminum,16,3381,0.47
2016-07,can,357,3381,10.56
2016-07,bottle,71,3381,2.1
2016-07,cup,52,3381,1.54
2016-07,wrapper,65,3381,1.92
2016-07,mcdonalds,16,3381,0.47
2016-07,paper,94,3381,2.78
2016-07,beer,155,3381,4.58
2016-07,energydrink,122,3381,3.61
2016-07,bag,65,3381,1.92
2016-07,candy,1,3381,0.03
2016-07,plastic,862,3381,25.5
2016-07,cigarette,46,3381,1.36
2016-08,aluminum,278,19700,1.41
2016-08,bag,447,19700,2.27
2016-08,cigarette,592,19700,3.01
2016-08,can,737,19700,3.74
2016-08,energydrink,305,19700,1.55
2016-08,candy,593,19700,3.01
2016-08,antaflu,86,19700,0.44
2016-08,mcdonalds,189,19700,0.96
2016-08,beer,336,19700,1.71
2016-08,redbull,117,19700,0.59
2016-08,firework,3,19700,0.02
2016-08,piece,699,19700,3.55
2016-08,wrapper,953,19700,4.84
2016-08,cup,291,19700,1.48
2016-08,bottle,341,19700,1.73
2016-08,plastic,4209,19700,21.37
2016-08,metal,635,19700,3.22
2016-08,paper,664,19700,3.37
2016-09,redbull,190,30022,0.63
2016-09,mcdonalds,234,30022,0.78
2016-09,paper,1504,30022,5.01
2016-09,energydrink,489,30022,1.63
2016-09,cup,545,30022,1.82
2016-09,cigarette,727,30022,2.42
2016-09,antaflu,93,30022,0.31
2016-09,aluminum,199,30022,0.66
2016-09,bottle,615,30022,2.05
2016-09,metal,1166,30022,3.88
2016-09,beer,506,30022,1.69
2016-09,wrapper,2227,30022,7.42
2016-09,candy,869,30022,2.89
2016-09,piece,1975,30022,6.58
2016-09,plastic,6074,30022,20.23
2016-09,bag,814,30022,2.71
2016-09,can,1027,30022,3.42
2016-10,beer,718,31827,2.26
2016-10,plastic,6733,31827,21.15
2016-10,energydrink,669,31827,2.1
2016-10,redbull,213,31827,0.67
2016-10,metal,1579,31827,4.96
2016-10,cigarette,510,31827,1.6
2016-10,wrapper,2037,31827,6.4
2016-10,aluminum,245,31827,0.77
2016-10,bottle,834,31827,2.62
2016-10,drink,1,31827,0
2016-10,can,1541,31827,4.84
2016-10,candy,815,31827,2.56
2016-10,paper,1084,31827,3.41
2016-10,cup,422,31827,1.33
2016-10,antaflu,77,31827,0.24
2016-10,piece,1109,31827,3.48
2016-10,mcdonalds,411,31827,1.29
2016-10,bag,1032,31827,3.24
2016-11,firework,16,32850,0.05
2016-11,plastic,6678,32850,20.33
2016-11,antaflu,114,32850,0.35
2016-11,mcdonalds,208,32850,0.63
2016-11,piece,1651,32850,5.03
2016-11,redbull,248,32850,0.75
2016-11,metal,1614,32850,4.91
2016-11,aluminum,203,32850,0.62
2016-11,cup,361,32850,1.1
2016-11,wrapper,2029,32850,6.18
2016-11,can,1729,32850,5.26
2016-11,energydrink,688,32850,2.09
2016-11,cigarette,423,32850,1.29
2016-11,drink,5,32850,0.02
2016-11,bag,1034,32850,3.15
2016-11,paper,1354,32850,4.12
2016-11,candy,978,32850,2.98
2016-11,beer,802,32850,2.44
2016-11,bottle,798,32850,2.43
2016-12,cup,145,15488,0.94
2016-12,aluminum,97,15488,0.63
2016-12,piece,779,15488,5.03
2016-12,can,1006,15488,6.5
2016-12,drink,10,15488,0.06
2016-12,redbull,142,15488,0.92
2016-12,cigarette,230,15488,1.49
2016-12,paper,642,15488,4.15
2016-12,beer,523,15488,3.38
2016-12,bag,474,15488,3.06
2016-12,energydrink,351,15488,2.27
2016-12,wrapper,846,15488,5.46
2016-12,bottle,488,15488,3.15
2016-12,firework,19,15488,0.12
2016-12,mcdonalds,125,15488,0.81
2016-12,candy,411,15488,2.65
2016-12,plastic,2928,15488,18.9
2016-12,metal,590,15488,3.81
2016-12,antaflu,25,15488,0.16
2017-01,antaflu,3,5390,0.06
2017-01,plastic,728,5390,13.51
2017-01,drink,11,5390,0.2
2017-01,metal,305,5390,5.66
2017-01,piece,7,5390,0.13
2017-01,redbull,72,5390,1.34
2017-01,candy,49,5390,0.91
2017-01,wrapper,55,5390,1.02
2017-01,can,747,5390,13.86
2017-01,aluminum,6,5390,0.11
2017-01,beer,487,5390,9.04
2017-01,energydrink,188,5390,3.49
2017-01,bottle,389,5390,7.22
2017-01,cigarette,66,5390,1.22
2017-01,firework,45,5390,0.83
2017-01,mcdonalds,38,5390,0.71
2017-01,paper,31,5390,0.58
2017-01,bag,35,5390,0.65
2017-01,cup,40,5390,0.74
2017-02,candy,221,6969,3.17
2017-02,drink,11,6969,0.16
2017-02,plastic,1379,6969,19.79
2017-02,can,449,6969,6.44
2017-02,antaflu,21,6969,0.3
2017-02,piece,160,6969,2.3
2017-02,paper,126,6969,1.81
2017-02,metal,386,6969,5.54
2017-02,redbull,49,6969,0.7
2017-02,bottle,306,6969,4.39
2017-02,bag,216,6969,3.1
2017-02,mcdonalds,24,6969,0.34
2017-02,beer,227,6969,3.26
2017-02,energydrink,228,6969,3.27
2017-02,wrapper,335,6969,4.81
2017-02,aluminum,30,6969,0.43
2017-02,cigarette,88,6969,1.26
2017-02,cup,61,6969,0.88
2017-03,can,1018,9572,10.64
2017-03,plastic,1061,9572,11.08
2017-03,drink,22,9572,0.23
2017-03,mcdonalds,63,9572,0.66
2017-03,paper,93,9572,0.97
2017-03,cup,459,9572,4.8
2017-03,antaflu,1,9572,0.01
2017-03,metal,928,9572,9.69
2017-03,bag,22,9572,0.23
2017-03,candy,63,9572,0.66
2017-03,energydrink,521,9572,5.44
2017-03,cigarette,38,9572,0.4
2017-03,bottle,660,9572,6.9
2017-03,wrapper,85,9572,0.89
2017-03,piece,5,9572,0.05
2017-03,aluminum,15,9572,0.16
2017-03,beer,351,9572,3.67
2017-03,redbull,218,9572,2.28
2017-04,paper,276,13013,2.12
2017-04,piece,21,13013,0.16
2017-04,mcdonalds,74,13013,0.57
2017-04,wrapper,207,13013,1.59
2017-04,plastic,1819,13013,13.98
2017-04,candy,167,13013,1.28
2017-04,firework,8,13013,0.06
2017-04,bag,90,13013,0.69
2017-04,metal,1377,13013,10.58
2017-04,antaflu,8,13013,0.06
2017-04,can,1501,13013,11.53
2017-04,beer,488,13013,3.75
2017-04,energydrink,717,13013,5.51
2017-04,drink,17,13013,0.13
2017-04,redbull,322,13013,2.47
2017-04,bottle,706,13013,5.43
2017-04,cigarette,144,13013,1.11
2017-04,cup,122,13013,0.94
2017-04,aluminum,28,13013,0.22
2017-05,drink,31,14038,0.22
2017-05,redbull,331,14038,2.36
2017-05,beer,491,14038,3.5
2017-05,firework,8,14038,0.06
2017-05,paper,574,14038,4.09
2017-05,bag,109,14038,0.78
2017-05,mcdonalds,71,14038,0.51
2017-05,cup,92,14038,0.66
2017-05,metal,1265,14038,9.01
2017-05,can,1504,14038,10.71
2017-05,energydrink,706,14038,5.03
2017-05,aluminum,160,14038,1.14
2017-05,bottle,676,14038,4.82
2017-05,wrapper,183,14038,1.3
2017-05,piece,15,14038,0.11
2017-05,candy,264,14038,1.88
2017-05,antaflu,19,14038,0.14
2017-05,plastic,2259,14038,16.09
2017-05,cigarette,200,14038,1.42
2017-06,cigarette,1818,43744,4.16
2017-06,metal,1768,43744,4.04
