tag1,tag2,count,percentage,rank
plastic,wrapper,146496,12.9,1
plastic,bottle,63626,5.6,2
plastic,candy,62990,5.5,3
plastic,bag,49732,4.4,4
plastic,firework,44564,3.9,5
plastic,knetterbal,36961,3.2,6
plastic,piece,28072,2.5,7
plastic,cup,26029,2.3,8
plastic,antaflu,23237,2,9
plastic,mcdonalds,20465,1.8,10
can,metal,112554,23.7,1
can,energydrink,45068,9.5,2
can,beer,40179,8.5,3
can,redbull,39659,8.4,4
can,aluminum,29652,6.3,5
can,drink,16738,3.5,6
can,soda,16555,3.5,7
can,heineken,16462,3.5,8
can,alcohol,9559,2,9
can,cocacola,8826,1.9,10
wrapper,plastic,146496,41.7,1
wrapper,candy,54780,15.6,2
wrapper,antaflu,18853,5.4,3
wrapper,paper,9761,2.8,4
wrapper,cookie,9329,2.7,5
wrapper,cigarette,7926,2.3,6
wrapper,food,3247,0.9,7
wrapper,snickers,3184,0.9,8
wrapper,icecream,2684,0.8,9
wrapper,miscellaneous,2682,0.8,10
paper,piece,25690,15.1,1
paper,tissue,10872,6.4,2
paper,plastic,10249,6,3
paper,wrapper,9761,5.7,4
paper,mcdonalds,9404,5.5,5
paper,cup,5730,3.4,6
paper,firework,4714,2.8,7
paper,bag,4623,2.7,8
paper,receipt,4309,2.5,9
paper,candy,3744,2.2,10
metal,can,112554,30.3,1
metal,energydrink,36352,9.8,2
metal,beer,32851,8.8,3
metal,redbull,24002,6.5,4
metal,soda,14257,3.8,5
metal,drink,13674,3.7,6
metal,heineken,11876,3.2,7
metal,alcohol,7313,2,8
metal,cocacola,5502,1.5,9
metal,slammers,5415,1.5,10
cigarette,butt,24277,20.3,1
cigarette,celluloseacetate,21069,17.6,2
cigarette,plastic,20035,16.8,3
cigarette,marlboro,9103,7.6,4
cigarette,wrapper,7926,6.6,5
cigarette,pack,6734,5.6,6
cigarette,paper,3623,3,7
cigarette,camel,1733,1.5,8
cigarette,cigarettebutt,1571,1.3,9
cigarette,smoking,1248,1,10
bottle,plastic,63626,34.2,1
bottle,water,13293,7.1,2
bottle,glass,11220,6,3
bottle,drink,9761,5.2,4
bottle,soda,5115,2.7,5
bottle,beer,4492,2.4,6
bottle,spa,4034,2.2,7
bottle,aadrink,3521,1.9,8
bottle,energydrink,3406,1.8,9
bottle,alcohol,3127,1.7,10
candy,plastic,62990,32.4,1
candy,wrapper,54780,28.2,2
candy,antaflu,17006,8.8,3
candy,paper,3744,1.9,4
