row,column,cor,p,p_stars,cor_level,method,N,same_group,has_census,has_litter,has_pois
l1k_piece,l_piece,1,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_firework,l_firework,0.99,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_energydrink,l_energydrink,0.98,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l_all,l_plastic,0.98,0,***,strong,spearman,389,TRUE,FALSE,TRUE,FALSE
l1k_all,l1k_plastic,0.97,0,***,strong,spearman,389,TRUE,TRUE,TRUE,FALSE
l1k_redbull,l_redbull,0.97,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_cigarette,l_cigarette,0.96,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_bag,l_bag,0.96,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_metal,l_metal,0.96,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_candy,l_candy,0.95,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_beer,l_beer,0.95,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_wrapper,l_wrapper,0.95,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_paper,l_paper,0.95,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_plastic,l_plastic,0.95,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_can,l_can,0.95,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_bottle,l_bottle,0.95,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l1k_all,l_all,0.94,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l_plastic,l_wrapper,0.93,0,***,strong,spearman,389,TRUE,FALSE,TRUE,FALSE
l1k_all,l_plastic,0.93,0,***,strong,spearman,389,FALSE,TRUE,TRUE,FALSE
l_all,l_can,0.92,0,***,strong,spearman,389,TRUE,FALSE,TRUE,FALSE
