fid,GM_CODE,GM_NAAM,WATER,OAD,STED,AANT_INW,AANT_MAN,AANT_VROUW,P_00_14_JR,P_15_24_JR,P_25_44_JR,P_45_64_JR,P_65_EO_JR,P_ONGEHUWD,P_GEHUWD,P_GESCHEID,P_VERWEDUW,BEV_DICHTH,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,P_OVER_NW,OPP_TOT,OPP_LAND,OPP_WATER,Shape_Leng,Shape_Area,income2017,l_all,l_plastic,l_can,l_wrapper,l_paper,l_metal,l_cigarette,l_bottle,l_candy,l_beer,l_bag,l_piece,l_energydrink,l_firework,l_redbull,l1k_all,l1k_plastic,l1k_can,l1k_wrapper,l1k_paper,l1k_metal,l1k_cigarette,l1k_bottle,l1k_candy,l1k_beer,l1k_bag,l1k_piece,l1k_energydrink,l1k_firework,l1k_redbull,Provincienaam,OBJECTID,litt_100kppl,litt_1kppl,litt_1k_log_ppl,unit_area,ppl_sqkm
"1",GM0003,Appingedam,NEE,1045,3,11971,5802,6169,15,10,21,30,24,42,42,9,7,503,5600,37,32,31,2.1,7,6,0,1,1,2,2,2458,2378,80,26201.1303343,24579962.7843,22.2,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Groningen,"1",0,0,0,24.36,491.420361247947
"2",GM0005,Bedum,NEE,678,4,10479,5241,5238,16,12,21,30,21,44,45,6,5,235,4399,29,35,36,2.3,4,3,0,0,0,0,2,4496,4454,41,35523.4782024,44956420.7633,26.1,4,"3","0","1","1","0","0","0","0","0","0","0","0","0","0",0.3817,0.2863,0,0.0954,0.0954,0,0,0,0,0,0,0,0,0,0,Groningen,"1",38.2,0.4,0.15,44.96,233.07384341637
"3",GM0007,Bellingwedde,NEE,151,5,8919,4534,4385,13,9,18,33,27,37,48,8,7,82,3989,30,40,30,2.2,8,3,0,0,0,0,2,11009,10837,172,48291.7254776,110088936.25,23.9,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Groningen,"1",0,0,0,110.26,80.8906221657899
"4",GM0009,Ten Boer,NEE,371,5,7288,3607,3681,18,11,21,30,20,44,43,6,6,161,2958,27,33,40,2.4,4,3,0,0,0,0,2,4573,4531,42,32779.7043318,45729675.3931,27.1,269,"89","20","3","47","3","74","0","0","0","0","0","0","0","4",36.91,12.2119,2.7442,0.4116,6.449,0.4116,10.1537,0,0,0,0,0,0,0,0.5488,Groningen,"1",3691,36.9,1.58,46.04,158.297132927889
"5",GM0010,Delfzijl,NEE,680,4,24965,12560,12405,14,10,20,31,24,41,44,8,7,188,11527,36,33,31,2.1,8,10,0,2,1,2,4,22750,13313,9437,142275.035545,136142746.943,23.7,22,"8","1","2","3","0","1","1","0","1","0","0","0","0","1",0.8812,0.3204,0.0401,0.0801,0.1202,0,0.0401,0.0401,0,0.0401,0,0,0,0,0.0401,Groningen,"1",88.1,0.9,0.28,136.67,182.666276432282
"6",GM0014,Groningen,NEE,3448,1,202636,101315,101321,12,24,30,21,12,68,22,7,3,2125,122280,62,21,18,1.6,12,12,1,2,2,1,7,10150,9534,616,58963.7642524,101499192.546,19.4,2929,"1724","182","363","301","127","110","241","143","41","232","131","35","28","37",14.4545,8.5079,0.8982,1.7914,1.4854,0.6267,0.5428,1.1893,0.7057,0.2023,1.1449,0.6465,0.1727,0.1382,0.1826,Groningen,"1",1445.4,14.5,1.19,101.68,1992.87962234461
"7",GM0015,Grootegast,NEE,230,5,12166,6193,5973,18,12,22,30,17,47,44,5,5,140,4821,26,32,42,2.5,2,1,0,0,0,0,1,8774,8671,103,58614.6622024,87735562.7484,25.3,3,"2","1","0","0","0","0","1","0","0","0","0","0","0","1",0.2466,0.1644,0.0822,0,0,0,0,0.0822,0,0,0,0,0,0,0.0822,Groningen,"1",24.7,0.2,0.08,88.02,138.218586684844
"8",GM0017,Haren,NEE,865,4,19570,9329,10241,17,10,18,29,26,44,42,7,7,431,8707,36,32,32,2.2,8,5,0,0,0,0,4,5073,4542,532,35927.1637811,50731604.6842,30.1,3025,"1144","83","247","345","100","309","97","112","25","69","0","4","0","14",154.5733,58.4568,4.2412,12.6214,17.629,5.1099,15.7895,4.9566,5.723,1.2775,3.5258,0,0.2044,0,0.7154,Groningen,"1",15457.3,154.6,2.19,50.65,386.377097729516
"9",GM0018,Hoogezand-Sappemeer,NEE,1249,3,34232,16906,17326,15,11,22,29,22,45,40,9,7,515,15716,37,31,32,2.1,7,12,1,1,4,3,3,7299,6646,653,53156.0597871,72990790.0256,23.8,13,"5","0","0","3","0","1","1","0","0","0","0","0","0","0",0.3798,0.1461,0,0,0.0876,0,0.0292,0.0292,0,0,0,0,0,0,0,Groningen,"1",38,0.4,0.15,73.31,466.948574546447
"10",GM0022,Leek,NEE,735,4,19643,9694,9949,17,11,21,30,21,44,44,7,6,311,8330,30,34,36,2.3,5,3,0,0,1,0,2,6428,6318,110,51093.0103099,64284273.3254,25.6,4,"2","0","1","0","0","0","1","0","0","0","0","0","0","0",0.2036,0.1018,0,0.0509,0,0,0,0.0509,0,0,0,0,0,0,0,Groningen,"1",20.4,0.2,0.08,64.3,305.489891135303
