gpoi_type,lit_type,n,n_pois,thres_m,lit_per_poi,all_lit,lit_pc
all,all,7993,1420,10,5.63,178557,4.5
all,plastic,3714,1420,10,2.62,178557,2.1
all,can,870,1420,10,0.61,178557,0.5
all,wrapper,1085,1420,10,0.76,178557,0.6
all,paper,943,1420,10,0.66,178557,0.5
all,metal,844,1420,10,0.59,178557,0.5
all,cigarette,846,1420,10,0.6,178557,0.5
all,bottle,381,1420,10,0.27,178557,0.2
all,candy,602,1420,10,0.42,178557,0.3
all,piece,848,1420,10,0.6,178557,0.5
all,firework,320,1420,10,0.23,178557,0.2
all,bag,325,1420,10,0.23,178557,0.2
all,energydrink,356,1420,10,0.25,178557,0.2
all,beer,308,1420,10,0.22,178557,0.2
all,aluminum,130,1420,10,0.09,178557,0.1
all,knetterbal,244,1420,10,0.17,178557,0.1
all,redbull,183,1420,10,0.13,178557,0.1
all,cup,196,1420,10,0.14,178557,0.1
all,mcdonalds,217,1420,10,0.15,178557,0.1
all,drink,59,1420,10,0.04,178557,0
all,antaflu,288,1420,10,0.2,178557,0.2
bakery,all,166,27,10,6.15,178557,0.1
bakery,plastic,71,27,10,2.63,178557,0
bakery,can,16,27,10,0.59,178557,0
bakery,wrapper,17,27,10,0.63,178557,0
bakery,paper,26,27,10,0.96,178557,0
bakery,metal,14,27,10,0.52,178557,0
bakery,cigarette,7,27,10,0.26,178557,0
bakery,bottle,7,27,10,0.26,178557,0
bakery,candy,12,27,10,0.44,178557,0
bakery,piece,23,27,10,0.85,178557,0
bakery,firework,8,27,10,0.3,178557,0
bakery,bag,5,27,10,0.19,178557,0
bakery,energydrink,8,27,10,0.3,178557,0
bakery,beer,2,27,10,0.07,178557,0
bakery,aluminum,3,27,10,0.11,178557,0
bakery,knetterbal,6,27,10,0.22,178557,0
bakery,redbull,7,27,10,0.26,178557,0
bakery,cup,1,27,10,0.04,178557,0
bakery,mcdonalds,1,27,10,0.04,178557,0
bakery,drink,2,27,10,0.07,178557,0
bakery,antaflu,7,27,10,0.26,178557,0
bar,all,360,23,10,15.65,178557,0.2
bar,plastic,156,23,10,6.78,178557,0.1
bar,can,36,23,10,1.57,178557,0
bar,wrapper,55,23,10,2.39,178557,0
bar,paper,70,23,10,3.04,178557,0
bar,metal,34,23,10,1.48,178557,0
bar,cigarette,18,23,10,0.78,178557,0
bar,bottle,17,23,10,0.74,178557,0
bar,candy,33,23,10,1.43,178557,0
bar,piece,50,23,10,2.17,178557,0
bar,firework,10,23,10,0.43,178557,0
bar,bag,12,23,10,0.52,178557,0
bar,energydrink,20,23,10,0.87,178557,0
bar,beer,6,23,10,0.26,178557,0
bar,aluminum,7,23,10,0.3,178557,0
bar,knetterbal,9,23,10,0.39,178557,0
bar,redbull,8,23,10,0.35,178557,0
bar,cup,9,23,10,0.39,178557,0
bar,mcdonalds,5,23,10,0.22,178557,0
bar,drink,3,23,10,0.13,178557,0
bar,antaflu,5,23,10,0.22,178557,0
beauty_salon,all,12,4,10,3,178557,0
beauty_salon,plastic,9,4,10,2.25,178557,0
beauty_salon,can,2,4,10,0.5,178557,0
beauty_salon,wrapper,6,4,10,1.5,178557,0
beauty_salon,metal,2,4,10,0.5,178557,0
beauty_salon,candy,4,4,10,1,178557,0
beauty_salon,piece,2,4,10,0.5,178557,0
beauty_salon,bag,2,4,10,0.5,178557,0
beauty_salon,energydrink,1,4,10,0.25,178557,0
beauty_salon,beer,1,4,10,0.25,178557,0
beauty_salon,aluminum,1,4,10,0.25,178557,0
book_store,all,84,12,10,7,178557,0
book_store,plastic,25,12,10,2.08,178557,0
book_store,can,4,12,10,0.33,178557,0
book_store,wrapper,11,12,10,0.92,178557,0
book_store,paper,19,12,10,1.58,178557,0
book_store,metal,2,12,10,0.17,178557,0
