litter_tag,count,percentage
plastic,88563,49.6
wrapper,25113,14.06
can,21383,11.98
metal,19865,11.13
paper,19482,10.91
piece,19186,10.75
cigarette,12550,7.03
candy,12359,6.92
bag,9673,5.42
bottle,8697,4.87
energydrink,8607,4.82
beer,7440,4.17
firework,7342,4.11
butt,6763,3.79
mcdonalds,6567,3.68
cardboard,6240,3.49
celluloseacetate,6231,3.49
soda,5923,3.32
knetterbal,5336,2.99
antaflu,4574,2.56
cup,4450,2.49
redbull,4375,2.45
miscellaneous,3879,2.17
aluminum,3640,2.04
tissue,3046,1.71
water,2932,1.64
pack,2791,1.56
bottlecap,2770,1.55
sauce,2692,1.51
heineken,2600,1.46
straw,2569,1.44
cookie,2453,1.37
lid,2353,1.32
styrofoam,2308,1.29
drinkcarton,2246,1.26
juice,1900,1.06
fastfood,1823,1.02
icecream,1754,0.98
foil,1697,0.95
marlboro,1679,0.94
saucecup,1659,0.93
slammers,1637,0.92
narcos,1593,0.89
amstel,1572,0.88
glass,1453,0.81
coke,1414,0.79
microfibre,1371,0.77
drink,1347,0.75
strap,1344,0.75
confetti,1285,0.72
alcohol,1278,0.72
rubber,1206,0.68
receipt,1201,0.67
dairy,1168,0.65
balloon,1092,0.61
candyman mac bubble,1073,0.6
lemonade,1009,0.57
nook,999,0.56
cleaningcloth,921,0.52
stick,895,0.5
label,868,0.49
fanta,817,0.46
drinkpouch,772,0.43
strawwrapper,765,0.43
ahold,760,0.43
coffee,741,0.41
tray,740,0.41
aadrink,693,0.39
cutlery,681,0.38
tiewrap,668,0.37
shredded,664,0.37
aluminium,658,0.37
chips,652,0.37
food,650,0.36
box,643,0.36
spa,617,0.35
peuk,598,0.33
lighter,590,0.33
export,588,0.33
spoon,580,0.32
gum,578,0.32
hsb,559,0.31
icetea,559,0.31
wicky,548,0.31
giro555,545,0.31
haribo,538,0.3
ticket,536,0.3
vulspul,536,0.3
kfc,535,0.3
candywrapper,520,0.29
strip,519,0.29
cigarettepack,510,0.29
bullit,489,0.27
unknown,479,0.27
cocacola,472,0.26
snickers,472,0.26
lipton,470,0.26
fabric,468,0.26
wood,451,0.25
fernandes,443,0.25
jumbo,439,0.25
start,431,0.24
construction,419,0.23
hairtie,418,0.23
caprisun,412,0.23
plasticbottle,397,0.22
stop,397,0.22
bavaria,394,0.22
bikepart,393,0.22
bread,393,0.22
camel,392,0.22
romy,386,0.22
goldenpower,370,0.21
stirrer,369,0.21
dalphin,367,0.21
napkin,357,0.2
cigarettebutt,351,0.2
wilhelmina,337,0.19
albertheijn,335,0.19
freeway,327,0.18
flyer,321,0.18
bluebastard,318,0.18
toy,315,0.18
solevita,313,0.18
cigarettebox,309,0.17
smoking,309,0.17
kitkat,299,0.17
kerstmarkt,297,0.17
bacardi,296,0.17
schutters,296,0.17
pencil,294,0.16
mentos,293,0.16
