Var1,Freq,pc
plastic,773738,45.6
can,199573,11.76
wrapper,173300,10.21
paper,158852,9.36
metal,132985,7.84
cigarette,89028,5.25
bottle,79553,4.69
candy,74116,4.37
piece,64692,3.81
firework,56210,3.31
bag,55074,3.25
energydrink,51366,3.03
beer,50720,2.99
aluminum,45437,2.68
knetterbal,44991,2.65
redbull,44705,2.63
cup,38946,2.3
mcdonalds,38542,2.27
drink,35972,2.12
antaflu,31490,1.86
soda,27560,1.62
butt,26985,1.59
cigarettebutt,25463,1.5
celluloseacetate,25102,1.48
bottlecap,23761,1.4
heineken,23626,1.39
cardboard,20672,1.22
straw,18756,1.11
miscellaneous,18429,1.09
peuk,18365,1.08
marlboro,18018,1.06
candyman mac bubble,16481,0.97
drinkcarton,16276,0.96
glass,15706,0.93
tissue,15300,0.9
water,14999,0.88
styrofoam,14511,0.86
alcohol,13982,0.82
cocacola,12727,0.75
cigarettepack,11655,0.69
pack,11351,0.67
candywrapper,11350,0.67
aluminium,11321,0.67
lid,11025,0.65
zwerfie,10991,0.65
plasticbottle,10295,0.61
cookie,10129,0.6
balloon,10114,0.6
coke,8832,0.52
cigarettebox,8779,0.52
amstel,8672,0.51
albertheijn,8392,0.49
sauce,8120,0.48
slammers,7932,0.47
food,7910,0.47
fanta,7834,0.46
small,7617,0.45
foil,7467,0.44
fastfood,7259,0.43
icecream,6657,0.39
confetti,6491,0.38
jumbo,6248,0.37
smoking,6139,0.36
tobacco,6008,0.35
juice,6004,0.35
rubber,5718,0.34
spa,5633,0.33
microfibre,5218,0.31
lipton,5079,0.3
hlr1,5002,0.29
packaging,4958,0.29
tiewrap,4902,0.29
drinkpouch,4763,0.28
lighter,4710,0.28
receipt,4662,0.27
aadrink,4641,0.27
saucecup,4615,0.27
dairy,4605,0.27
narcos,4511,0.27
glove,4461,0.26
shredded,4461,0.26
coffee,4287,0.25
label,4266,0.25
lemonade,4248,0.25
caprisun,4165,0.25
coffeecup,4134,0.24
fabric,4090,0.24
spoon,4087,0.24
ccrf,4080,0.24
camel,4062,0.24
cap,4031,0.24
snickers,4019,0.24
haribo,3997,0.24
chips,3897,0.23
bullit,3888,0.23
polystyrene,3886,0.23
plasticbag,3823,0.23
strap,3773,0.22
bavaria,3726,0.22
stick,3710,0.22
grolsch,3690,0.22
goldenpower,3670,0.22
wicky,3547,0.21
box,3534,0.21
strawwrapper,3530,0.21
icetea,3353,0.2
fireworks,3349,0.2
mentos,3154,0.19
carton,3117,0.18
tray,3047,0.18
wood,3042,0.18
blik,2989,0.18
waterbottle,2973,0.18
papercup,2897,0.17
chewinggum,2687,0.16
middle,2670,0.16
cleaningcloth,2623,0.15
lays,2610,0.15
glassbottle,2586,0.15
export,2583,0.15
lollipop,2557,0.15
plasticlid,2512,0.15
rope,2494,0.15
twix,2457,0.14
mars,2420,0.14
ahold,2402,0.14
container,2377,0.14
wilhelmina,2366,0.14
ticket,2355,0.14
foam,2314,0.14
drugs,2288,0.13
strip,2270,0.13
stirrer,2255,0.13
kitkat,2247,0.13
plasticcup,2246,0.13
toy,2213,0.13
sportlife,2180,0.13
ah,2160,0.13
fernandes,2159,0.13
schultenbrau,2138,0.13
megaforce,2136,0.13
gum,2124,0.13
monster,2104,0.12
ajruimtop,2034,0.12
plasticwrapper,2002,0.12
pepsi,1997,0.12
bacardi,1973,0.12
backtosender,1901,0.11
unknown,1885,0.11
package,1880,0.11
kfc,1867,0.11
fork,1857,0.11
bread,1847,0.11
cutlery,1800,0.11
nook,1759,0.1
oreo,1755,0.1
kinder,1754,0.1
napkin,1736,0.1
freeway,1727,0.1
construction,1695,0.1
lidl,1690,0.1
energy,1676,0.1
maoam,1660,0.1
Miltseweg,1651,0.1
milka,1638,0.1
saskia,1615,0.1
ditch,1608,0.09
blikje,1606,0.09
lb,1602,0.09
jupiler,1593,0.09
tape,1591,0.09
tinfoil,1586,0.09
vuurwerk,1583,0.09
taksi,1577,0.09
wetwipes,1572,0.09
chocomel,1569,0.09
hlr2,1567,0.09
pallmall,1560,0.09
shred,1556,0.09
solevita,1529,0.09
dalphin,1509,0.09
schutters,1486,0.09
hertogjan,1478,0.09
romy,1477,0.09
shell,1462,0.09
battery,1450,0.09
napoleon,1438,0.08
hairtie,1430,0.08
saucelid,1429,0.08
piepschuim,1428,0.08
chocolate,1405,0.08
ziplock,1400,0.08
ola,1342,0.08
starbucks,1335,0.08
gulpener,1330,0.08
bikepart,1318,0.08
bounty,1318,0.08
sourcy,1306,0.08
chaudfontaine,1285,0.08
papier,1275,0.08
troep,1274,0.08
wine,1248,0.07
nylon,1244,0.07
plasticstraw,1242,0.07
microplastics,1182,0.07
tin,1181,0.07
breaker,1175,0.07
start,1164,0.07
tee,1145,0.07
pitt,1141,0.07
aquarius,1133,0.07
fristi,1131,0.07
cigarettes,1130,0.07
stop,1122,0.07
sultana,1118,0.07
smallpiece,1109,0.07
flowerbed,1099,0.06
breda,1096,0.06
desperados,1096,0.06
doritos,1075,0.06
lollipopstick,1048,0.06
burgerking,1044,0.06
cola,1040,0.06
plus,1019,0.06
crisps,1018,0.06
sigaret,989,0.06
ball,980,0.06
unknown4,957,0.06
bluebastard,954,0.06
ribbon,953,0.06
energiedrink,952,0.06
uitgifterolcontainers,950,0.06
cloth,947,0.06
river,945,0.06
statiegeld,944,0.06
cristaline,941,0.06
medicine,939,0.06
highway,936,0.06
deklok,908,0.05
pouch,894,0.05
beercan,885,0.05
rubberband,881,0.05
fishingnet,869,0.05
stukgemaaid,867,0.05
pencil,865,0.05
tube,864,0.05
hero,861,0.05
vifit,857,0.05
l&m,851,0.05
pen,851,0.05
esso,843,0.05
energy drink,831,0.05
gascharger,824,0.05
miscellanious,818,0.05
cannabis,810,0.05
2,794,0.05
flyer,779,0.05
breadclip,773,0.05
chupachups,773,0.05
kruidvat,769,0.05
liga,761,0.04
nestle,758,0.04
mascotte,749,0.04
foodwrapper,745,0.04
string,744,0.04
bythecreekfestival,744,0.04
prinsenstichting,739,0.04
redband,738,0.04
burger,737,0.04
hardcup,731,0.04
snack,724,0.04
nutricia,707,0.04
prince,706,0.04
aldi,700,0.04
gwoon,696,0.04
kassabon,696,0.04
mcflurry,696,0.04
fruittella,690,0.04
smint,685,0.04
unknown3,685,0.04
sprite,682,0.04
milkyway,674,0.04
cabletie,671,0.04
knoppers,668,0.04
cigarettepackwrap,667,0.04
7up,664,0.04
kongstrong,661,0.04
poo,650,0.04
hertog jan,645,0.04
bolletje,642,0.04
milkshake,634,0.04
sondey,634,0.04
bifi,631,0.04
